Team,ShortName,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,wOBA,BB%,K%,BB/K,ISO,Spd,BABIP,UBR,GDPRuns,wRC,wRAA,UZR,wBsR,BaseRunning,WAR,Off,Def,wRC+,FPTS,FPTS_G,SPTS,SPTS_G,ADP,Pos,minpos,UPURL,teamid,League,PlayerName,xMLBAMID,playerids,playerid
NYY,Yankees,146.0,508.427,626.731,146.978,68.9749,25.2088,0.671642,52.1227,109.403,125.658,106.759,13.1546,160.633,6.23543,4.49127,0.489937,8.86666,6.29226,2.22165,0.289084,0.41535,0.648861,1.06421,0.439545,0.170343,0.256303,0.664615,0.359777,3.1648,0.316014,,,138.57,65.2561,-3.97,-0.973689,-0.973689,7.67493,65.69556099176407,-12.30874228477478,192.969,1227.0,8.404109589,1227.0,8.404109589,3.119999885559082,0.25,OF,/players/aaron-judge/15640/stats?position=OF,9,AL,Aaron Judge,592450,15640,15640
KCR,Royals,146.0,555.108,613.213,166.801,96.7751,33.6523,6.61265,29.7609,104.391,92.5162,45.7099,5.00855,98.433,6.12235,5.41059,0.861892,6.25924,39.6387,9.41621,0.300484,0.357039,0.54577,0.902809,0.381189,0.0745416,0.16052,0.464375,0.245286,7.57163,0.316984,,,106.78,35.0471,0.34,2.98078,2.98078,6.59471,36.27960538864136,7.099259227514267,147.458,1007.5,6.900684931,1007.5,6.900684931,1.6299999952316284,0.00571429,SS,/players/bobby-witt-jr/25764/stats?position=SS,7,AL,Bobby Witt Jr.,677951,25764,25764
NYM,Mets,147.0,504.824,631.909,138.687,78.0491,26.5735,1.51494,32.5492,100.833,91.2851,119.098,6.29648,105.207,3.84771,3.35793,0.782232,14.3209,7.40297,2.54957,0.274723,0.414547,0.526793,0.94134,0.402956,0.188472,0.16649,1.13203,0.25207,3.87061,0.286528,,,121.106,47.1863,-0.31,-1.08864,-1.08864,6.25318,47.57261800765991,-8.04148155450821,164.397,1047.2,7.123809523,1047.2,7.123809523,7.079999923706055,0.0295858,OF,/players/juan-soto/20123/stats?position=OF,25,NL,Juan Soto,665742,20123,20123
LAD,Dodgers,138.0,509.726,598.339,148.756,76.4941,28.3824,3.45254,40.427,112.033,104.779,79.1417,11.0661,131.823,4.35847,3.59101,0.618179,7.63717,33.7697,9.86589,0.291835,0.389158,0.598997,0.988155,0.412207,0.132269,0.220315,0.600362,0.307162,6.53469,0.317618,,,119.127,49.1344,0.0,1.58279,1.58279,5.9396,50.81504499912262,-13.203703880310059,168.808,1084.3,7.857246376,1084.3,7.857246376,1.5499999523162842,1.0,DH,/players/shohei-ohtani/19755/stats?position=DH,22,NL,Shohei Ohtani,660271,19755,19755
LAD,Dodgers,142.0,533.345,617.446,148.438,89.9049,29.8266,2.83209,25.8748,92.4913,85.9063,71.4007,2.10535,79.3671,7.02126,4.99459,0.684328,8.78855,12.6097,4.43302,0.278316,0.367825,0.490402,0.858227,0.369364,0.115639,0.128541,0.899625,0.212086,4.9194,0.282993,,,101.64,29.4126,-1.33,-0.58536,-0.58536,5.61233,28.928161025047302,4.8788474798202515,139.972,891.8,6.28028169,891.8,6.28028169,13.65999984741211,0.0,OF,/players/mookie-betts/13611/stats?position=OF,22,NL,Mookie Betts,605141,13611,13611
TOR,Blue Jays,144.0,539.006,613.375,164.364,98.9555,29.3231,1.1582,34.9276,95.3827,102.359,62.746,6.30211,84.2618,7.01244,4.04569,0.564901,15.5269,4.21383,1.61297,0.30494,0.382048,0.558039,0.940087,0.398035,0.102296,0.137374,0.744654,0.253099,3.32299,0.305374,,,115.124,43.3726,0.01,-1.09232,-1.09232,5.60471,44.61384856700897,-10.82619689963758,165.124,1010.2,7.015277777,1010.2,7.015277777,13.180000305175781,0.16949153,1B,/players/vladimir-guerrero-jr/19611/stats?position=1B,14,AL,Vladimir Guerrero Jr.,665489,19611,19611
BAL,Orioles,137.0,504.436,574.454,134.386,76.2262,26.9366,3.74439,27.4789,87.022,80.7215,61.297,2.50596,135.676,4.59614,3.65024,0.475067,10.3196,15.3008,3.76608,0.266409,0.348931,0.498077,0.847008,0.362395,0.106705,0.236182,0.45179,0.231669,5.94345,0.309938,,,91.3409,24.1423,1.17,0.432991,0.432991,5.58357,27.599675983190536,7.282788634300232,141.331,816.6,5.960583941,816.6,5.960583941,9.329999923706055,0.01818182,3B/SS,/players/gunnar-henderson/26289/stats?position=3B/SS,2,AL,Gunnar Henderson,683002,26289,26289
HOU,Astros,130.0,474.104,555.783,139.382,73.9234,27.0661,1.43273,36.9598,88.2214,98.7186,68.6509,8.4882,93.8731,7.62144,4.95025,0.456039,9.43556,1.80318,0.589988,0.29399,0.388338,0.590995,0.979333,0.409832,0.123521,0.168903,0.731315,0.297005,3.04129,0.29413,,,109.592,44.5777,-0.15,-0.99673,-0.99673,5.36401,45.820760011672974,-12.440691381692886,173.62,968.2,7.447692307,968.2,7.447692307,17.149999618530273,0.65,DH/OF,/players/yordan-alvarez/19556/stats?position=DH/OF,21,AL,Yordan Alvarez,670541,19556,19556
SDP,Padres,140.0,523.503,589.94,148.496,85.4835,29.5551,2.73763,30.7201,97.1622,88.284,55.374,1.79835,123.464,6.35733,3.77518,0.930143,10.514,26.6724,6.93059,0.283659,0.356917,0.526619,0.883536,0.376803,0.0938638,0.209282,0.448503,0.24296,6.17601,0.315674,,,100.644,31.6343,3.9,1.37986,1.37986,5.28548,34.50624752044678,-2.9492249488830566,146.958,915.0,6.535714285,915.0,6.535714285,11.619999885559082,0.03539823,SS/OF,/players/fernando-tatis-jr/19709/stats?position=SS/OF,29,NL,Fernando Tatis Jr.,665487,19709,19709
ATL,Braves,118.0,435.248,505.917,131.532,79.292,25.7582,1.58217,24.8999,93.9532,70.4677,59.0883,3.12406,88.1683,8.23784,2.79683,0.545776,8.4864,41.3835,13.3666,0.302201,0.39349,0.540277,0.933768,0.398758,0.116795,0.174274,0.670176,0.238077,6.59579,0.328123,,,95.2499,36.0688,3.3,1.73064,1.73064,5.20799,36.1329562664032,-2.5317704677581787,156.865,868.5,7.360169491,868.5,7.360169491,37.599998474121094,0.0,OF,/players/ronald-acuna-jr/18401/stats?position=OF,16,NL,Ronald Acuña Jr.,660670,18401,18401
CLE,Guardians,142.0,542.739,609.602,147.012,86.1238,30.6982,3.34155,26.8489,88.7929,85.0629,56.8816,9.97598,70.6716,3.65634,5.74132,0.582983,6.55471,31.5918,9.86466,0.270871,0.340795,0.488154,0.828949,0.350134,0.0933095,0.115931,0.804871,0.217283,6.05073,0.266462,,,90.9139,19.6039,4.9,1.24433,1.24433,5.16253,23.094363570213318,6.537751793861389,131.326,856.8,6.033802816,856.8,6.033802816,4.900000095367432,0.18823529,3B,/players/jose-ramirez/13510/stats?position=3B,5,AL,José Ramírez,608070,13510,13510
TEX,Rangers,119.0,441.387,501.677,124.168,68.9909,23.5155,0.811529,30.8503,72.269,83.5125,50.1335,5.89581,90.4767,3.93348,3.7578,0.436581,9.88611,0.19818,0.0800146,0.281314,0.357033,0.547949,0.904982,0.381436,0.0999317,0.180349,0.554103,0.266635,2.0594,0.28818,,,87.4574,28.7722,0.34,-0.917463,-0.917463,5.13946,28.999577045440674,4.0128394067287445,152.118,782.1,6.572268907,782.1,6.572268907,46.439998626708984,0.08148148,SS,/players/corey-seager/13624/stats?position=SS,13,AL,Corey Seager,608369,13624,13624
SEA,Mariners,134.0,458.616,521.374,99.4576,52.3313,19.6827,0.824517,26.6191,60.5757,76.8546,54.2164,2.33712,142.572,3.98176,4.12676,0.433675,6.19507,2.35309,0.745143,0.216865,0.302637,0.437505,0.740142,0.318781,0.103988,0.273454,0.380274,0.22064,2.85562,0.248129,,,64.599,3.60968,16.7,-0.68507,-0.68507,5.03723,7.90972375869751,23.45514488220215,114.407,587.9,4.387313432,587.9,4.387313432,85.55000305175781,0.13690476,C,/players/cal-raleigh/21534/stats?position=C,11,AL,Cal Raleigh,663728,21534,21534
SEA,Mariners,145.0,546.452,606.814,149.237,93.8877,24.3785,3.89395,27.0766,89.5024,81.0081,47.7936,3.45908,145.259,8.87899,3.1409,0.548384,9.39081,30.1121,7.46705,0.273101,0.339636,0.480615,0.820251,0.351685,0.0787617,0.239381,0.329023,0.207514,6.47107,0.323812,,,91.2552,20.2714,-1.71,1.83722,1.83722,5.01056,27.910614132881165,0.3431053161621094,137.552,843.0,5.813793103,843.0,5.813793103,13.710000038146973,0.06451613,OF,/players/julio-rodriguez/23697/stats?position=OF,11,AL,Julio Rodríguez,677594,23697,23697
NYM,Mets,147.0,557.132,631.909,143.76,85.2169,29.2598,2.23824,27.045,91.4027,82.7048,56.467,1.45703,118.432,8.7135,5.05588,0.604103,9.04821,24.404,6.94618,0.258036,0.333043,0.464219,0.797262,0.343525,0.0893594,0.187419,0.47679,0.206183,5.6867,0.280086,,,90.8793,16.9598,1.04,0.892045,0.892045,4.95289,19.32684016227722,7.614074230194092,124.396,819.7,5.576190476,819.7,5.576190476,14.149999618530273,0.00609756,SS,/players/francisco-lindor/12916/stats?position=SS,25,NL,Francisco Lindor,596019,12916,12916
MIL,Brewers,143.0,494.487,562.686,130.092,81.9319,24.7869,0.552501,22.8208,70.0592,81.9206,59.403,1.27837,122.293,4.86715,2.94148,0.987213,14.1171,3.90644,1.41538,0.263085,0.346026,0.453897,0.799923,0.347145,0.10557,0.217338,0.485743,0.190812,2.91607,0.304476,,,82.563,16.7411,8.72,-0.935749,-0.935749,4.90105,14.504177451133728,14.23697566986084,122.947,725.2,5.071328671,725.2,5.071328671,24.790000915527344,0.2202381,C,/players/william-contreras/20503/stats?position=C,23,NL,William Contreras,661388,20503,20503
ATL,Braves,146.0,552.823,621.527,151.388,85.1643,29.9129,2.60482,33.7063,91.173,99.7073,53.6316,2.7956,148.113,9.6355,4.96442,0.471869,10.5272,0.855767,0.292219,0.273846,0.34563,0.520292,0.865923,0.368474,0.0862901,0.238306,0.362099,0.246446,3.15576,0.313011,,,101.867,29.1618,-3.38,-1.09662,-1.09662,4.70551,26.017860531806946,-1.1269137859344482,136.482,910.2,6.234246575,910.2,6.234246575,29.6200008392334,0.0,3B,/players/austin-riley/18360/stats?position=3B,16,NL,Austin Riley,663586,18360,18360
CHC,Cubs,140.0,508.336,595.371,141.718,83.5499,27.2137,3.17523,27.7795,89.8211,91.0204,77.8786,6.24653,87.4674,2.53718,5.23601,0.439688,8.09941,21.4953,7.21694,0.278789,0.373971,0.50876,0.882731,0.375984,0.130807,0.146913,0.890372,0.229971,5.5842,0.286045,,,101.179,31.5333,0.79,0.131371,0.131371,4.68705,32.36515825986862,-6.783099114894867,145.275,909.1,6.493571428,909.1,6.493571428,8.710000038146973,0.09574468,OF,/players/kyle-tucker/18345/stats?position=OF,17,NL,Kyle Tucker,663656,18345,18345
SFG,Giants,146.0,548.718,625.842,135.901,72.6394,28.3388,2.85354,32.0696,88.5404,90.3492,65.0408,0.848148,155.625,6.66498,4.89149,0.52743,8.59015,7.47764,2.0395,0.247671,0.332004,0.485051,0.817055,0.35054,0.103925,0.248665,0.417932,0.23738,4.55728,0.28376,,,93.5403,20.3305,1.96,-0.463022,-0.463022,4.66797,20.170806795358658,4.213086366653442,127.571,835.4,5.721917808,835.4,5.721917808,125.16999816894531,0.0,3B,/players/matt-chapman/16505/stats?position=3B,30,NL,Matt Chapman,656305,16505,16505
ARI,Diamondbacks,143.0,530.517,610.418,138.362,81.4584,28.4684,6.58338,21.8523,97.7898,73.6652,63.7064,1.95095,118.621,8.87781,3.75391,3.5628,9.17091,41.3215,6.82535,0.260807,0.347606,0.462858,0.810465,0.350042,0.104365,0.194327,0.537058,0.202052,8.07974,0.295863,,,90.9901,19.5845,7.04,4.29961,4.29961,4.41323,21.55094814300537,0.8793773651123047,123.634,847.0,5.923076923,847.0,5.923076923,7.889999866485596,0.0,OF,/players/corbin-carroll/25878/stats?position=OF,15,NL,Corbin Carroll,682998,25878,25878
LAA,Angels,122.0,444.734,519.113,120.084,61.3267,21.8081,2.55108,34.3979,80.8109,88.634,62.7466,5.24245,124.443,7.6925,3.47374,0.466042,5.86337,7.51368,2.05634,0.270013,0.367346,0.562556,0.929902,0.391807,0.120873,0.239723,0.504218,0.292543,4.80586,0.296115,,,94.8302,34.1054,-3.19,-0.32867,-0.32867,4.35912,33.89854139089584,-9.02409553527832,157.624,850.1,6.968032786,850.1,6.968032786,111.9000015258789,0.19047619,OF,/players/mike-trout/10155/stats?position=OF,1,AL,Mike Trout,545361,10155,10155
BAL,Orioles,134.0,456.463,523.025,117.18,78.1176,22.0689,1.78327,15.21,62.6931,61.6996,57.9139,2.49162,82.4378,3.81498,4.27468,0.558578,10.0542,0.842613,0.296359,0.256713,0.342431,0.412838,0.755269,0.329846,0.110729,0.157617,0.702516,0.156125,2.69559,0.280839,,,69.4617,8.27923,8.28,-1.03557,-1.03557,4.27502,9.997271537780762,13.932262897491455,118.436,603.3,4.502238805,603.3,4.502238805,61.56999969482422,0.3,C/DH,/players/adley-rutschman/26288/stats?position=C/DH,2,AL,Adley Rutschman,668939,26288,26288
LAD,Dodgers,117.0,401.833,466.604,105.467,63.1884,20.4429,1.33278,20.5033,63.9149,67.8711,49.2292,2.19246,88.0336,9.76248,4.97293,0.473996,7.49276,1.50188,0.506201,0.262466,0.35307,0.473047,0.826117,0.355791,0.105505,0.188669,0.55921,0.210581,3.19734,0.284857,,,71.7121,17.1297,-0.48,-0.851632,-0.851632,4.08956,16.354368805885315,7.724993258714676,130.837,625.1,5.342735042,625.1,5.342735042,107.08000183105469,0.02205882,C,/players/will-smith/19197/stats?position=C,22,NL,Will Smith,669257,19197,19197
SDP,Padres,133.0,513.27,558.736,142.872,88.6399,29.0973,2.99731,22.1377,76.4301,76.5904,35.7072,3.36367,97.6583,2.04965,4.44265,3.26733,8.48122,14.5817,3.57934,0.278357,0.325183,0.476119,0.801301,0.341529,0.063907,0.174784,0.365634,0.197762,5.4291,0.303417,,,79.458,14.0981,2.81,0.495658,0.495658,4.0364,16.00699719786644,4.493485808372498,123.216,727.1,5.466917293,727.1,5.466917293,27.280000686645508,0.0,OF,/players/jackson-merrill/29490/stats?position=OF,29,NL,Jackson Merrill,701538,29490,29490
CHC,Cubs,143.0,539.685,608.206,136.258,85.2045,26.641,1.37314,23.0392,79.2722,82.219,55.7364,2.39031,144.708,4.17996,4.07613,0.866366,10.2911,16.4293,4.91455,0.252476,0.324965,0.434999,0.759964,0.328832,0.0916407,0.237925,0.385166,0.182523,4.76811,0.301102,,,80.278,9.13115,1.68,0.16895,0.16895,3.98072,10.015677973628044,8.300370335578918,113.539,718.2,5.022377622,718.2,5.022377622,170.38999938964844,0.0,SS,/players/dansby-swanson/18314/stats?position=SS,17,NL,Dansby Swanson,621020,18314,18314
SFG,Giants,118.0,418.278,465.651,96.9111,65.8266,20.4308,0.839968,9.81376,47.6947,47.1481,38.8415,0.67449,106.861,2.85309,4.00574,1.67242,8.24729,1.85433,0.65906,0.231691,0.298733,0.354939,0.653672,0.288096,0.0834134,0.229488,0.363476,0.123248,2.94025,0.284996,,,46.1946,-8.27634,21.79,-0.739336,-0.739336,3.88238,-8.789965689182281,30.894939422607422,85.542,409.9,3.473728813,409.9,3.473728813,307.2900085449219,0.02290076,C,/players/patrick-bailey/27478/stats?position=C,30,NL,Patrick Bailey,672275,27478,27478
CIN,Reds,142.0,533.802,597.964,136.895,79.1805,28.9323,3.82545,24.9564,96.1054,74.7078,55.9264,3.97436,181.479,3.92941,2.76771,1.53879,7.65975,51.075,9.7306,0.256452,0.329883,0.465242,0.795125,0.340911,0.093528,0.303495,0.30817,0.20879,7.90813,0.339069,,,84.7393,14.7906,-3.94,5.20808,5.20808,3.7979,14.252420902252197,2.6340742111206055,112.649,824.0,5.802816901,824.0,5.802816901,4.300000190734863,0.0,SS,/players/elly-de-la-cruz/26668/stats?position=SS,18,NL,Elly De La Cruz,682829,26668,26668
BOS,Red Sox,144.0,536.318,610.905,140.546,87.1365,28.282,1.39005,23.7377,77.2594,83.1254,59.8739,0.992984,85.2925,7.11604,6.96078,0.636816,11.0701,2.0424,0.766216,0.262058,0.340074,0.452757,0.792831,0.342821,0.0980085,0.139617,0.701983,0.190699,2.82685,0.26899,,,87.5121,16.0496,1.67,-1.11044,-1.11044,3.77588,12.269976377487183,3.892222046852112,119.142,768.1,5.334027777,768.1,5.334027777,110.41000366210938,0.01875,3B,/players/alex-bregman/17678/stats?position=3B,3,AL,Alex Bregman,608324,17678,17678
PHI,Phillies,142.0,553.078,608.046,151.907,99.3804,29.7724,3.51258,19.2414,85.2712,75.5207,40.8592,0.14815,116.706,5.40053,3.93143,0.701779,10.3561,25.6521,5.72418,0.274657,0.328488,0.445559,0.774047,0.334824,0.0671976,0.191937,0.350102,0.170902,6.42173,0.315074,,,83.1891,12.0612,-2.45,1.66381,1.66381,3.77039,12.160807609558105,4.124074220657349,114.437,757.2,5.332394366,757.2,5.332394366,24.110000610351562,0.02290076,SS,/players/trea-turner/16252/stats?position=SS,26,NL,Trea Turner,607208,16252,16252
PHI,Phillies,142.0,519.36,608.046,142.299,84.8612,28.3367,3.04122,26.0603,88.3972,87.1933,79.3777,8.12835,125.783,4.00412,4.44744,0.856505,11.1452,11.1726,4.13824,0.27399,0.371682,0.490795,0.862477,0.368247,0.130546,0.206864,0.63107,0.216805,4.87896,0.312501,,,99.5461,28.4181,1.27,-0.705196,-0.705196,3.76962,26.14872235059738,-9.871325016021729,136.933,877.6,6.18028169,877.6,6.18028169,22.260000228881836,0.01910828,OF,/players/bryce-harper/11579/stats?position=OF,26,NL,Bryce Harper,547180,11579,11579
ARI,Diamondbacks,113.0,421.213,483.001,117.124,69.0375,24.8508,1.91974,21.3161,68.6624,74.9911,53.3828,3.36842,83.3521,4.32464,3.41277,0.471588,10.2077,4.89878,1.48739,0.278064,0.36247,0.497997,0.860467,0.368227,0.110523,0.172571,0.640449,0.219933,4.21621,0.29944,,,79.0667,22.5662,-0.25,-0.596385,-0.596385,3.73996,20.12364500761032,0.025341063737869263,135.874,693.2,6.134513274,693.2,6.134513274,30.65999984741211,0.15972222,2B,/players/ketel-marte/13613/stats?position=2B,15,NL,Ketel Marte,606466,13613,13613
