Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,xMLBAMID,playerids,playerid
DET,Tigers,14,7,30,30,0,0,,180.0,720,143,60,55,17,207,41,,7,2.73715,1.02158,10.3782,2.04759,5.06847,0.853033,0.287897,0.0568016,0.23109573125839233,,0.212365,0.280696,0.775585,2.8909,1021.1000000000001,5.672777777777778,949.0,5.272222222222222,4.72107,5.27906,21,13.8100004196167,6.0,AL,Tarik Skubal,669373,22267,22267
PIT,Pirates,14,6,28,28,0,0,,159.0,649,125,50,46,13,199,44,,6,2.60783,1.06078,11.2571,2.49089,4.5193,0.744282,0.30662,0.0678468,0.2387729063630104,,0.208423,0.288826,0.787617,2.69286,939.7,5.910062893081761,874.0,5.49685534591195,4.69007,5.45343,20,10.890000343322754,27.0,NL,Paul Skenes,694973,33677,33677
PHI,Phillies,14,8,30,30,0,0,,185.0,752,150,70,64,22,205,48,,7,3.14171,1.07028,10.0155,2.3369,4.28579,1.08058,0.273227,0.0637518,0.20947493612766266,,0.214847,0.27186,0.763709,3.40137,953.4000000000001,5.153513513513514,884.0,4.778378378378378,4.14283,4.86554,19,21.649999618530273,26.0,NL,Zack Wheeler,554430,10310,10310
SFG,Giants,13,8,30,30,0,0,,183.0,759,176,74,68,15,167,39,,7,3.34723,1.18059,8.23466,1.93238,4.26141,0.720444,0.220054,0.0516388,0.16841546073555946,,0.247424,0.304541,0.724721,3.1396,908.1,4.962295081967214,916.0,5.005464480874317,3.8285,3.84157,18,98.33999633789062,30.0,NL,Logan Webb,657277,17995,17995
BOS,Red Sox,12,8,28,28,0,0,,145.0,594,121,57,52,15,178,45,,6,3.22967,1.1393,11.0017,2.76199,3.98324,0.927523,0.299163,0.0751054,0.22405748814344406,,0.22273,0.302406,0.751097,3.1078,776.9,5.357931034482759,733.0,5.055172413793104,3.62468,3.75453,17,23.670000076293945,3.0,AL,Garrett Crochet,676979,27463,27463
ATL,Braves,11,6,24,24,0,0,,138.0,562,103,48,44,16,193,43,,6,2.87948,1.05717,12.5761,2.79145,4.50522,1.03273,0.342891,0.0761096,0.26678115874528885,,0.200643,0.285963,0.789411,2.91979,795.6000000000001,5.765217391304349,721.0,5.22463768115942,3.593,4.09022,16,101.01000213623047,16.0,NL,Spencer Strider,675911,27498,27498
HOU,Astros,12,7,27,27,0,0,,167.0,697,144,64,59,14,173,54,,7,3.18212,1.19102,9.36146,2.92838,3.19681,0.749885,0.24861,0.0777683,0.17084195464849472,,0.22689,0.290634,0.749132,3.27528,852.1999999999999,5.1029940119760475,816.0,4.88622754491018,3.56482,3.9645,17,61.900001525878906,21.0,AL,Framber Valdez,664285,17295,17295
ATL,Braves,12,8,28,28,0,0,,166.0,678,142,68,62,20,191,43,,7,3.35651,1.11861,10.3436,2.34543,4.41013,1.0622,0.281122,0.0637447,0.21737756580114365,,0.226552,0.293654,0.746054,3.30518,845.2,5.091566265060242,802.0,4.831325301204819,3.5011,3.75007,17,35.97999954223633,16.0,NL,Chris Sale,519242,10603,10603
MIA,Marlins,12,8,27,27,0,0,,169.0,702,153,70,64,17,163,45,,7,3.42513,1.17461,8.6926,2.37762,3.65601,0.903615,0.231908,0.063432,0.16847612708806992,,0.235895,0.289998,0.733957,3.45588,813.7000000000003,4.814792899408285,794.0,4.6982248520710055,3.39231,3.85204,16,137.64999389648438,20.0,NL,Sandy Alcantara,645261,18684,18684
SEA,Mariners,13,8,30,30,0,0,,177.0,718,149,69,63,21,183,38,,7,3.21681,1.06154,9.29842,1.94248,4.78689,1.0949,0.254168,0.0530967,0.20107115805149078,,0.221953,0.272663,0.753074,3.4454,895.1,5.0570621468926555,843.0,4.762711864406779,3.29865,3.61266,19,26.360000610351562,11.0,AL,Logan Gilbert,669302,22250,22250
